BANK,ADDR,NAME,POR VAL,R MASK,W MASK,U MASK,SYNC TO ADDR
13,12,__100,,,,0xFF,
13,112,__16,,,,,0x70
14,0,__12,,,,,0x0
14,12,__100,,,,0xFF,
14,112,__16,,,,,0x70
15,0,__12,,,,,0x0
15,12,__100,,,,0xFF,
15,112,__16,,,,,0x70
16,0,__12,,,,,0x0
16,12,__100,,,,0xFF,
16,112,__16,,,,,0x70
17,0,__12,,,,,0x0
17,12,__100,,,,0xFF,
17,112,__16,,,,,0x70
18,0,__12,,,,,0x0
18,12,__100,,,,0xFF,
18,112,__16,,,,,0x70
19,0,__12,,,,,0x0
19,12,__100,,,,0xFF,
19,112,__16,,,,,0x70
20,0,__12,,,,,0x0
20,12,__100,,,,0xFF,
20,112,__16,,,,,0x70
21,0,__12,,,,,0x0
21,12,__100,,,,0xFF,
21,112,__16,,,,,0x70
22,0,__12,,,,,0x0
22,12,__100,,,,0xFF,
22,112,__16,,,,,0x70
23,0,__12,,,,,0x0
23,12,__100,,,,0xFF,
23,112,__16,,,,,0x70
24,0,__12,,,,,0x0
24,12,__100,,,,0xFF,
24,112,__16,,,,,0x70
25,0,__12,,,,,0x0
25,12,__100,,,,0xFF,
25,112,__16,,,,,0x70
26,0,__12,,,,,0x0
26,12,__100,,,,0xFF,
26,112,__16,,,,,0x70
27,0,__12,,,,,0x0
27,12,__100,,,,0xFF,
27,112,__16,,,,,0x70
28,0,__12,,,,,0x0
28,12,__100,,,,0xFF,
28,112,__16,,,,,0x70
29,0,__12,,,,,0x0
29,12,__100,,,,0xFF,
29,112,__16,,,,,0x70
30,0,__12,,,,,0x0
30,12,__100,,,,0xFF,
30,112,__16,,,,,0x70
31,0,__12,,,,,0x0
31,12,__88,,,,0xFF,
31,100,STATUS_SHAD,,,,,
31,101,WREG_SHAD,,,,,
31,102,BSR_SHAD,,,,,
31,103,PCLATH_SHAD,,,,,
31,104,FSR0L_SHAD,,,,,
31,105,FSR0H_SHAD,,,,,
31,106,FSR1L_SHAD,,,,,
31,107,FSR1H_SHAD,,,,,
31,108,,,,,,
31,109,STKPTR,,,,,
31,110,TOSL,,,,,
31,111,TOSH,,,,,
31,112,__16,,,,,0x70
